Author0|Title0|ISBN0 
Author1|Title1|ISBN1 
Author2|Title2|ISBN2 
Author3|Title3|ISBN3 
Author4|Title4|ISBN4 
Author5|Title5|ISBN5 
Author6|Title6|ISBN6 
Author7|Title7|ISBN7 
Author8|Title8|ISBN8 
Author9|Title9|ISBN9 
Author10|Title10|ISBN10 
Author11|Title11|ISBN11 
Author12|Title12|ISBN12 
Author13|Title13|ISBN13 
Author14|Title14|ISBN14 
Author15|Title15|ISBN15 
Author16|Title16|ISBN16 
Author17|Title17|ISBN17 
Author18|Title18|ISBN18 
Author19|Title19|ISBN19 
Author20|Title20|ISBN20 
Author21|Title21|ISBN21 
Author22|Title22|ISBN22 
Author23|Title23|ISBN23 
Author24|Title24|ISBN24 
Author25|Title25|ISBN25 
Author26|Title26|ISBN26 
Author27|Title27|ISBN27 
Author28|Title28|ISBN28 
Author29|Title29|ISBN29 
Author30|Title30|ISBN30 
Author31|Title31|ISBN31 
Author32|Title32|ISBN32 
Author33|Title33|ISBN33 
Author34|Title34|ISBN34 
Author35|Title35|ISBN35 
Author36|Title36|ISBN36 
Author37|Title37|ISBN37 
Author38|Title38|ISBN38 
Author39|Title39|ISBN39
try|try|try
